age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
fat,normal,no,no,bachelor,middle eastern,165,0,student,no,straight,no,islam,female,capricorn,no,"arabic, english",single
skinny,keto,yes,yes,bachelor,middle eastern,170,50000,cfo,no,straight,no,islam,female,capricorn,yes,"french, spanish",single
fat,kosher,yes,yes,masters,white,180,100000,ceo,no,straight,no,islam,female,capricorn,no,"french, spanish",single
skinny,normal,no,no,bachelor,white,165,100000,student,no,straight,no,islam,female,capricorn,no,"french, spanish",single
fat,keto,no,yes,bachelor,middle eastern,180,0,ceo,no,straight,no,islam,female,capricorn,no,"french, spanish",single
22,skinny,keto,yes,no,masters,180,100000,100000,ceo,3/4/2024,"california, usa",no,straight,no,islam,female,capricorn,yes,arabic,single
18,skinny,normal,no,yes,masters,white,180,100,ceo,4/5/2024,"LA, USA",no,straight,no,islam,female,capricorn,yes,"arabic, german",married
30,fat,kosher,no,yes,masters,180,180,100000,ceo,3/4/2024,"california, usa",no,straight,no,islam,female,capricorn,yes,"arabic, german",single
22,skinny,keto,no,yes,bachelors,asian,165,100000,ceo,3/4/2024,"madrid, spain",no,straight,no,islam,female,libra,yes,"arabic, english, spanish",single
22,skinny,keto,yes,yes,masters,white,165,100000,ceo,4/5/2024,"california, usa",islam,straight,no,islam,female,libra,yes,"arabic, german",single
20,skinny,keto,yes,yes,masters,asian,180,100000,ceo,3/4/2024,"madrid, spain",no,female,no,islam,female,capricorn,yes,"arabic, german",single
26,curvy,mostly anything,socially,never,working on college,hispanic/latin,63.0,20000,sales/marketing,2012-06-23-23-10,"berkeley, california","doesn’t have kids, but might want them",gay,likes dogs and cats,catholicism and laughing about it',female,gemini and it’s fun to think about,no,english,single
22,skinny,kosher,no,yes,masters,asian,165,5000,student,4/5/2024,"madrid, spain","doesn’t have kids, but might want them",straight,no,islam,female,libra,yes,"arabic, english, spanish",single
